duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,Target
202204,0,1,4,0.0558,0.584,0.836,0,0.0663,-4.925,0.079,0.484,104.973,0
208960,10,1,4,0.0191,0.457,0.948,0,0.0536,-3.364,0.0354,0.878,148,1
146080,10,1,4,0.909,0.692,0.373,0.00000435,0.116,-12.201,0.027,0.782,144.591,1
192000,4,0,5,0.219,0.778,0.685,0,0.0912,-5.736,0.121,0.422,119.949,0
254769,7,1,4,0.246,0.676,0.528,0,0.0803,-8.699,0.0366,0.309,130.073,1
382500,11,0,4,0.000259,0.324,0.935,0.0951,0.453,-4.44,0.151,0.16,124.575,0
230467,7,0,4,0.105,0.827,0.718,0,0.0581,-8.036,0.0493,0.723,131.498,0
209480,6,1,4,0.0000104,0.545,0.836,0.000129,0.413,-4.029,0.0281,0.449,105.925,1
249403,4,0,4,0.854,0.54,0.375,0.00000671,0.0982,-9.544,0.0256,0.334,133.928,1
201067,9,1,4,0.795,0.484,0.59,0.00306,0.155,-6.663,0.0283,0.324,140.588,1
198107,5,0,4,0.235,0.658,0.701,0.00601,0.244,-10.254,0.0835,0.382,110.053,1
173631,3,1,4,0.462,0.697,0.877,0.00943,0.083,-4.465,0.0462,0.802,101.99,1
427800,1,1,4,0.272,0.655,0.675,0.0236,0.727,-9.352,0.0599,0.587,77.589,1
202893,10,1,4,0.000605,0.479,0.89,0.000345,0.0932,-4.527,0.0374,0.795,164.491,1
234947,2,0,4,0.0577,0.683,0.753,0.00208,0.357,-5.564,0.0317,0.389,120.03,1
285653,7,1,4,0.023,0.546,0.814,0,0.0972,-5.146,0.0314,0.146,104.98,1
218228,7,1,4,0.421,0.708,0.779,0.00176,0.115,-6.28,0.0787,0.46,142.012,1
324696,7,1,4,0.828,0.405,0.354,0.816,0.104,-14.391,0.0354,0.256,142.061,0
330970,7,1,4,0.16,0.649,0.453,0.449,0.0842,-9.805,0.0675,0.558,93.527,0
212160,10,0,4,0.000187,0.334,0.936,0.831,0.269,-4.067,0.151,0.191,109.763,0
195694,10,1,4,0.000213,0.469,0.851,0.00000786,0.154,-4.147,0.0547,0.549,130.053,1
210750,7,1,4,0.308,0.418,0.75,0,0.204,-4.237,0.171,0.531,188.938,0
244973,0,1,4,0.591,0.864,0.495,0.000133,0.0992,-7.036,0.037,0.72,129.062,1
209093,0,1,4,0.000256,0.589,0.881,0,0.327,-4.62,0.0666,0.709,129.95,1
298977,0,1,4,0.00164,0.452,0.87,0,0.125,-5.983,0.0438,0.325,146.055,0
243053,2,1,4,0.00000911,0.47,0.98,0.00932,0.308,-1.989,0.194,0.208,137.453,0
271227,1,1,3,0.000174,0.541,0.941,0.846,0.183,-5.322,0.0563,0.553,150.027,0
239621,3,1,4,0.00417,0.545,0.717,0.406,0.136,-6.869,0.036,0.589,118.515,1
217107,9,0,4,0.0000438,0.202,0.962,0.864,0.0292,-3.583,0.157,0.154,159.814,0
185758,9,0,4,0.748,0.785,0.22,0,0.174,-20.605,0.96,0.667,59.065,0
232147,8,1,4,0.745,0.427,0.201,0.263,0.109,-13.044,0.0317,0.0668,105.218,1
125920,11,0,4,0.00118,0.514,0.855,0.94,0.0499,-6.493,0.0426,0.641,140.01,0
310915,4,1,4,0.509,0.389,0.415,0.00417,0.0882,-13.535,0.11,0.378,167.261,0
313573,6,0,4,0.0855,0.927,0.535,0,0.136,-7.59,0.0911,0.336,112.96,1
336000,6,1,4,0.0211,0.496,0.739,0.00444,0.106,-7.193,0.0415,0.378,132.41,1
205133,6,1,4,0.0836,0.778,0.508,0,0.128,-7.654,0.119,0.6,122.109,0
286480,0,0,4,0.417,0.346,0.552,0,0.114,-6.864,0.0282,0.0789,75.881,1
170800,0,1,4,0.158,0.518,0.761,0.00765,0.0715,-7.025,0.0452,0.576,118.738,1
266920,4,0,4,0.00634,0.525,0.766,0.00235,0.125,-8.448,0.0438,0.383,119.974,0
226779,6,0,4,0.256,0.754,0.753,0.00000338,0.0902,-6.892,0.0988,0.586,96.991,0
185026,2,1,4,0.141,0.71,0.774,0.0136,0.0348,-9.335,0.0333,0.966,133.924,1
219493,5,1,4,0.14,0.59,0.772,0,0.373,-5.795,0.0344,0.612,133.06,0
256488,10,1,4,0.328,0.59,0.306,0.00000695,0.0377,-16.326,0.0325,0.493,77.069,1
254293,5,1,4,0.166,0.486,0.449,0.00000223,0.54,-10.298,0.0267,0.549,100.456,1
241293,7,0,4,0.134,0.403,0.422,0.0000205,0.0861,-13.964,0.0373,0.378,122.728,1
260693,10,0,4,0.0000546,0.332,0.956,0.335,0.279,-8.269,0.0844,0.459,108.551,0
214507,6,1,4,0.00835,0.645,0.713,0,0.113,-5.355,0.0393,0.566,74.989,1
369760,4,0,4,0.0176,0.271,1,0.438,0.394,-4.902,0.133,0.0217,138.501,0
688453,0,1,4,0.527,0.308,0.563,0.00000458,0.134,-9.169,0.0719,0.109,85.901,1
167537,7,0,4,0.904,0.692,0.318,0,0.163,-9.338,0.0405,0.695,134.202,1
388213,8,1,4,0.699,0.35,0.554,0,0.102,-3.546,0.0286,0.281,81.287,0
279360,9,1,4,0.0969,0.458,0.869,0.0596,0.357,-8.381,0.032,0.813,91.39,1
123437,10,0,4,0.989,0.572,0.136,0.867,0.13,-13.809,0.0345,0.168,70.199,0
